EMD_CD,EMD_NM,SGG_OID,COL_ADM_SE,GID,TRAD,CONCERT,OLD,MART,LIB,ART,MUS,MED,COMM,SPORT,TOTAL,CHARGE
29155126,양과동,409,29155,3374,0,0,0,0,0,0,0,0,0,0,0,0
29155123,칠석동,406,29155,3375,0,0,1,0,0,0,0,0,0,0,1,0
29155122,화장동,405,29155,3376,0,0,0,0,0,0,0,0,0,0,0,0
29155111,임암동,387,29155,3377,0,0,1,0,4,0,0,0,0,0,5,0
29155110,행암동,386,29155,3378,0,0,0,0,12,0,0,0,0,0,12,0
29155109,덕남동,385,29155,3379,0,0,0,0,0,0,0,2,0,0,2,1
29155130,월성동,413,29155,3380,0,0,2,0,0,0,0,0,0,0,2,0
29155129,원산동,412,29155,3381,0,0,0,0,0,0,0,0,0,0,0,0
29155128,대지동,411,29155,3382,0,0,0,0,0,0,0,0,0,0,0,0
29155115,봉선동,420,29155,3383,1,1,3,1,12,0,0,7,2,2,29,2
29155106,주월동,419,29155,3384,1,0,0,0,7,0,0,7,2,1,18,4
29155121,압촌동,418,29155,3385,0,0,0,0,0,0,0,0,0,0,0,0
29155120,지석동,417,29155,3386,0,0,0,0,2,0,0,0,1,0,3,1
29155112,송하동,414,29155,3387,0,0,2,0,1,0,0,3,1,0,7,0
29155127,이장동,410,29155,3388,0,0,2,0,0,0,0,0,0,0,2,0
29155125,신장동,408,29155,3389,0,0,0,0,0,0,0,0,0,0,0,0
29155124,석정동,407,29155,3390,0,0,0,0,0,0,0,0,0,0,0,0
29155114,방림동,404,29155,3391,0,0,0,0,6,0,0,2,2,0,10,1
29155108,진월동,403,29155,3392,0,0,0,0,3,0,0,4,1,2,10,1
29155107,노대동,402,29155,3393,0,0,1,0,9,0,0,0,1,3,14,1
29140127,남구_용두동,108,29140,3394,0,0,2,0,0,0,0,0,0,3,5,0
29140131,마륵동,103,29140,3397,0,0,0,0,1,0,0,0,0,2,3,2
29140120,치평동,102,29140,3398,0,2,1,2,8,1,0,18,1,8,41,4
29140130,금호동,1096,29140,3399,0,1,1,0,13,0,0,6,2,6,29,2
29140104,서구_양동,1090,29140,3401,1,0,0,0,7,0,0,2,2,2,14,2
29140119,화정동,785,29140,3402,1,1,0,3,16,0,0,8,4,4,37,3
29140106,농성동,1092,29140,3403,0,0,2,0,8,1,0,7,2,8,28,4
29140115,광천동,114,29140,3405,0,0,1,1,3,0,0,4,1,2,12,0
29140118,쌍촌동,112,29140,3407,0,3,1,0,14,0,0,8,2,10,38,5
29140121,내방동,131,29140,3408,0,0,0,0,1,0,0,0,0,1,2,1
29140117,덕흥동,97,29140,3411,0,0,1,0,0,0,0,0,0,5,6,0
29110105,대의동,168,29110,3412,0,0,0,0,0,1,1,0,0,0,2,0
,평동,100,,,,,,,,,,,,,,
,신흥동,101,,,,,,,,,,,,,,
